H1WP18I	Which of these things have you done with your {FATHER/ADOPTIVE FATHER/ STEPFATHER/FOSTER FATHER/etc.} in the past 4 weeks? worked on a project for school
H1WP18J	Which of these things have you done with your {FATHER/ADOPTIVE FATHER/ STEPFATHER/FOSTER FATHER/etc.} in the past 4 weeks? talked about other things you're doing in school
H1WP18K	Which of these things have you done with your {FATHER/ADOPTIVE FATHER/ STEPFATHER/FOSTER FATHER/etc.} in the past 4 weeks? none
H1MO1	If you had sexual intercourse, your friends would respect you more.
H1MO2	If you had sexual intercourse, your partner would lose respect for you.
H1MO3	If you had sexual intercourse, afterward, you would feel guilty.
H1MO4	If you had sexual intercourse, it would upset {NAME OF MOTHER}.
H1MO5	If you had sexual intercourse, it would give you a great deal of physical pleasure.
H1MO6	If you had sexual intercourse, it would relax you.
H1MO7	If R is male:  If you had sexual intercourse, it would make you more attractive to women.
H1MO8	If you had sexual intercourse, you would feel less lonely.
H1MO9	If R is male:  If you got someone pregnant, it would be embarrassing for your family.
H1MO10	If R is male:  If you got someone pregnant, it would be embarrassing for you.
H1MO11	If R is male:  If you got someone pregnant, you would have to quit school.
H1MO12	If R is male:  If you got someone pregnant, you might marry the wrong person, just to get married.
H1MO13	If R is male:  If you got someone pregnant, you would be forced to grow up too fast.
H1MO14	If R is male:  If you got someone pregnant, you would have to help her decide whether or not to have the baby, and that would be stressful and difficult.
H1PF1	Most of the time, your mother is warm and loving toward you.
H1PF2	Your mother encourages you to be independent.
H1PF3	When you do something wrong that is important, your mother talks about it with you and helps you understand why it is wrong.
H1PF4	You are satisfied with the way your mother and you communicate with each other.
H1PF5	Overall, you are satisfied with your relationship with your mother
H1PF6	You are quite knowledgeable about how to use a condom correctly.
H1PF7	You never argue with anyone.
H1PF8	When you get what you want, it's usually because you worked hard for it.
H1PF9	Your closest friends are quite knowledgeable about the withdrawal method of birth control.
H1PF10	You never get sad.
H1PF11	You are quite knowledgeable about the rhythm method of birth control and when it is a “safe” time during the month for a woman to have sex and not get pregnant.
H1PF12	Your closest friends are quite knowledgeable about how to use a condom correctly.
H1PF13	You never criticize other people.
H1PF14	You usually go out of your way to avoid having to deal with problems in your life.
H1PF15	Difficult problems make you very upset.
H1PF16	When making decisions, you usually go with your “gut feeling” without thinking too much about the consequences of each alternative.
H1PF17	Your closest friends are quite knowledgeable about the rhythm method of birth control and when it is a “safe” time during the month for a woman to have sex and not get pregnant.
H1PF18	When you have a problem to solve, one of the first things you do is get as many facts about the problem as possible.
H1PF19	When you are attempting to find a solution to a problem, you usually try to think of as many different ways to approach the problem as possible.
H1PF20	When making decisions, you generally use a systematic method for judging and comparing alternatives.
H1PF21	After carrying out a solution to a problem, you usually try to analyze what went right and what went wrong.
H1PF22	You are quite knowledgeable about the withdrawal method of birth control.
H1PF23	Most of the time, your father is warm and loving toward you.
H1PF24	You are satisfied with the way your father and you communicate with each other.
H1PF25	Overall, you are satisfied with your relationship with your father.
H1PF26	You have a lot of energy.
H1PF27	You seldom get sick.
H1PF28	When you do get sick, you get better quickly.
H1PF29	You are well coordinated.
H1PF30	You have a lot of good qualities.
H1PF31	You are physically fit.
H1PF32	You have a lot to be proud of.
H1PF33	You like yourself just the way you are.
H1PF34	You feel like you are doing everything just about right.
H1PF35	You feel socially accepted.
H1PF36	You feel loved and wanted.
H1KQ1A	 1a.   When a woman has sexual intercourse, almost all sperm die inside her body after about six hours.
H1KQ1B	 1b.   How confident are you that your answer is correct?
H1KQ2A	 2a.   When using a condom, the man should pull out of the woman right after he has ejaculated (come).
H1KQ2B	 2b.   How confident are you that your answer is correct?
H1KQ3A	 3a.   Most women's periods are regular, that is, they ovulate (are fertile) fourteen days after their periods begin.
H1KQ3B	 3b.   How confident are you that your answer is correct?
H1KQ4A	 4a.   Natural skin (lamb skin) condoms provide better protection against the AIDS virus than latex condoms.
H1KQ4B	 4b.   How confident are you that your answer is correct?
H1KQ5A	 5a.   When putting on a condom, it is important to have it fit tightly, leaving no space at the tip.
H1KQ5B	 5b.   How confident are you that your answer is correct?
H1KQ6A	 6a.   Vaseline can be used with condoms, and they will work just as well.
H1KQ6B	 6b.   How confident are you that your answer is correct?
H1KQ7A	 7a.   The most likely time for a woman to get pregnant is right before her period starts.
H1KQ7B	 7b.   How confident are you that your answer is correct?
H1KQ8A	 8a.   Even if the man pulls out before he ejaculates (even if ejaculation occurs outside of the woman's body), it is still possible for the woman to become pregnant.
H1KQ8B	 8b.   How confident are you that your answer is correct?
H1KQ9A	 9a.    As long as the condom fits over the tip of the penis, it doesn't matter how far down it is unrolled.
H1KQ9B	 9b.   How confident are you that your answer is correct?
H1KQ10A	 10a.   In general, a woman is most likely to get pregnant if she has sex during her period, as compared with other times of the month.
H1KQ10B	 10b.   How confident are you that your answer is correct?
FR_FLAG	 Flag used to determine number of friend nominations.
H1MF2A	[If SCHOOL YEAR:] Does {NAME} go to school?
H1MF3A	[If SCHOOL YEAR:] What grade is {NAME} in?
H1MF4A	[If SCHOOL YEAR:] Does {NAME} go to your school?
H1MF5A	[If SCHOOL YEAR:] Does {NAME} go to {SISTER SCHOOL}? [If SUMMER:] Did {NAME} go to {SISTER SCHOOL} during the 1994-1995 school year?
H1MF6A	Did you go to {NAME}'s house during the past seven days?
H1MF7A	Did you meet {NAME} after school to hang out or go somewhere during the past seven days?
H1MF8A	Did you spend time with {NAME} during the past weekend?
H1MF9A	Did you talk to {NAME} about a problem during the past seven days?
H1MF10A	Did you talk to {NAME} on the telephone during the past seven days?
H1MF2B	[If SCHOOL YEAR:] Does {NAME} go to school?
H1MF3B	[If SCHOOL YEAR:] What grade is {NAME} in?
H1MF4B	[If SCHOOL YEAR:] Does {NAME} go to your school?
H1MF5B	[If SCHOOL YEAR:] Does {NAME} go to {SISTER SCHOOL}? [If SUMMER:] Did {NAME} go to {SISTER SCHOOL} during the 1994-1995 school year?
H1MF6B	Did you go to {NAME}'s house during the past seven days?
H1MF7B	Did you meet {NAME} after school to hang out or go somewhere during the past seven days?
H1MF8B	Did you spend time with {NAME} during the past weekend?
H1MF9B	Did you talk to {NAME} about a problem during the past seven days?
H1MF10B	Did you talk to {NAME} on the telephone during the past seven days?
H1MF2C	[If SCHOOL YEAR:] Does {NAME} go to school?
H1MF3C	[If SCHOOL YEAR:] What grade is {NAME} in?
H1MF4C	[If SCHOOL YEAR:] Does {NAME} go to your school?
H1MF5C	[If SCHOOL YEAR:] Does {NAME} go to {SISTER SCHOOL}? [If SUMMER:] Did {NAME} go to {SISTER SCHOOL} during the 1994-1995 school year?
H1MF6C	Did you go to {NAME}'s house during the past seven days?
H1MF7C	Did you meet {NAME} after school to hang out or go somewhere during the past seven days?
H1MF8C	Did you spend time with {NAME} during the past weekend?
H1MF9C	Did you talk to {NAME} about a problem during the past seven days?
H1MF10C	Did you talk to {NAME} on the telephone during the past seven days?
H1MF2D	[If SCHOOL YEAR:] Does {NAME} go to school?
H1MF3D	[If SCHOOL YEAR:] What grade is {NAME} in?
H1MF4D	[If SCHOOL YEAR:] Does {NAME} go to your school?
H1MF5D	[If SCHOOL YEAR:] Does {NAME} go to {SISTER SCHOOL}? [If SUMMER:] Did {NAME} go to {SISTER SCHOOL} during the 1994-1995 school year?
H1MF6D	Did you go to {NAME}'s house during the past seven days?
H1MF7D	Did you meet {NAME} after school to hang out or go somewhere during the past seven days?
H1MF8D	Did you spend time with {NAME} during the past weekend?
H1MF9D	Did you talk to {NAME} about a problem during the past seven days?
H1MF10D	Did you talk to {NAME} on the telephone during the past seven days?
H1MF2E	[If SCHOOL YEAR:] Does {NAME} go to school?
H1MF3E	[If SCHOOL YEAR:] What grade is {NAME} in?
H1MF4E	[If SCHOOL YEAR:] Does {NAME} go to your school?
H1MF5E	[If SCHOOL YEAR:] Does {NAME} go to {SISTER SCHOOL}? [If SUMMER:] Did {NAME} go to {SISTER SCHOOL} during the 1994-1995 school year?
H1MF6E	Did you go to {NAME}'s house during the past seven days?
H1MF7E	Did you meet {NAME} after school to hang out or go somewhere during the past seven days?
H1MF8E	Did you spend time with {NAME} during the past weekend?
H1MF9E	Did you talk to {NAME} about a problem during the past seven days?
H1MF10E	Did you talk to {NAME} on the telephone during the past seven days?
H1FF2A	[If SCHOOL YEAR:] Does {NAME} go to school?
H1FF3A	[If SCHOOL YEAR:] What grade is {NAME} in?
H1FF4A	[If SCHOOL YEAR:] Does {NAME} go to your school?
H1FF5A	[If SCHOOL YEAR:] Does {NAME} go to {SISTER SCHOOL}? [If SUMMER:] Did {NAME} go to {SISTER SCHOOL} during the 1994-1995 school year?
H1FF6A	Did you go to {NAME}'s house during the past seven days?
H1FF7A	Did you meet {NAME} after school to hang out or go somewhere during the past seven days?
H1FF8A	Did you spend time with {NAME} during the past weekend?
H1FF9A	Did you talk to {NAME} about a problem during the past seven days?
H1FF10A	Did you talk to {NAME} on the telephone during the past seven days?
H1FF2B	[If SCHOOL YEAR:] Does {NAME} go to school?
H1FF3B	[If SCHOOL YEAR:] What grade is {NAME} in?
H1FF4B	[If SCHOOL YEAR:] Does {NAME} go to your school?
H1FF5B	[If SCHOOL YEAR:] Does {NAME} go to {SISTER SCHOOL}? [If SUMMER:] Did {NAME} go to {SISTER SCHOOL} during the 1994-1995 school year?
H1FF6B	Did you go to {NAME}'s house during the past seven days?
H1FF7B	Did you meet {NAME} after school to hang out or go somewhere during the past seven days?
H1FF8B	Did you spend time with {NAME} during the past weekend?
H1FF9B	Did you talk to {NAME} about a problem during the past seven days?
H1FF10B	Did you talk to {NAME} on the telephone during the past seven days?
H1FF2C	[If SCHOOL YEAR:] Does {NAME} go to school?
H1FF3C	[If SCHOOL YEAR:] What grade is {NAME} in?
H1FF4C	[If SCHOOL YEAR:] Does {NAME} go to your school?
H1FF5C	[If SCHOOL YEAR:] Does {NAME} go to {SISTER SCHOOL}? [If SUMMER:] Did {NAME} go to {SISTER SCHOOL} during the 1994-1995 school year?
H1FF6C	Did you go to {NAME}'s house during the past seven days?
H1FF7C	Did you meet {NAME} after school to hang out or go somewhere during the past seven days?
H1FF8C	Did you spend time with {NAME} during the past weekend?
H1FF9C	Did you talk to {NAME} about a problem during the past seven days?
H1FF10C	Did you talk to {NAME} on the telephone during the past seven days?
H1FF2D	[If SCHOOL YEAR:] Does {NAME} go to school?
H1FF3D	[If SCHOOL YEAR:] What grade is {NAME} in?
H1FF4D	[If SCHOOL YEAR:] Does {NAME} go to your school?
H1FF5D	[If SCHOOL YEAR:] Does {NAME} go to {SISTER SCHOOL}? [If SUMMER:] Did {NAME} go to {SISTER SCHOOL} during the 1994-1995 school year?
H1FF6D	Did you go to {NAME}'s house during the past seven days?
H1FF7D	Did you meet {NAME} after school to hang out or go somewhere during the past seven days?
H1FF8D	Did you spend time with {NAME} during the past weekend?
H1FF9D	Did you talk to {NAME} about a problem during the past seven days?
H1FF10D	Did you talk to {NAME} on the telephone during the past seven days?
H1FF2E	[If SCHOOL YEAR:] Does {NAME} go to school?
H1FF3E	[If SCHOOL YEAR:] What grade is {NAME} in?
H1FF4E	[If SCHOOL YEAR:] Does {NAME} go to your school?
H1FF5E	[If SCHOOL YEAR:] Does {NAME} go to {SISTER SCHOOL}? [If SUMMER:] Did {NAME} go to {SISTER SCHOOL} during the 1994-1995 school year?
H1FF6E	Did you go to {NAME}'s house during the past seven days?
H1FF7E	Did you meet {NAME} after school to hang out or go somewhere during the past seven days?
H1FF8E	Did you spend time with {NAME} during the past weekend?
H1FF9E	Did you talk to {NAME} about a problem during the past seven days?
H1FF10E	Did you talk to {NAME} on the telephone during the past seven days?
H1ID1A	Select letter for each card R gave back A.   We would go out together in a group.
H1ID1B	Select letter for each card R gave back B.   I would meet my partner's parents.
H1ID1C	Select letter for each card R gave back C.   I would tell other people that we were a couple.
H1ID1D	Select letter for each card R gave back D.   I would see less of my other friends so I could spend more time with my partner.
H1ID1E	Select letter for each card R gave back E.   We would go out together alone.
H1ID1F	Select letter for each card R gave back F.   We would hold hands.
H1ID1G	Select letter for each card R gave back G.   I would give my partner a present.
H1ID1H	Select letter for each card R gave back H.   My partner would give me a present.
H1ID1I	Select letter for each card R gave back I.    I would tell my partner that I loved him or her.
H1ID1J	Select letter for each card R gave back J.    My partner would tell me that he or she loved me.
H1ID1K	Select letter for each card R gave back K.   We would think of ourselves as a couple.
H1ID1L	Select letter for each card R gave back L.   We would talk about contraception or sexually transmitted diseases.
H1ID1M	Select letter for each card R gave back M.  We would kiss.
H1ID1N	Select letter for each card R gave back N.   We would touch each other under our clothing or with no clothes on.
H1ID1O	Select letter for each card R gave back O.   We would have sex.
H1ID1P	Select letter for each card R gave back P.   My partner or I would get pregnant.
H1ID1Q	Select letter for each card R gave back Q.   We would get married.
H1ID1R	Select letter for each card R gave back R.   No cards taken out, R would do all.
H1ID2_1	[ordered list of remaining cards] Enter the first thing that would happen.
H1ID2_2	[ordered list of remaining cards] Enter the next thing that would happen.
H1ID2_3	[ordered list of remaining cards] Enter the next thing that would happen.
H1ID2_4	[ordered list of remaining cards] Enter the next thing that would happen.
H1ID2_5	[ordered list of remaining cards] Enter the next thing that would happen.
H1ID2_6	[ordered list of remaining cards] Enter the next thing that would happen.
H1ID2_7	[ordered list of remaining cards] Enter the next thing that would happen.
H1ID2_8	[ordered list of remaining cards] Enter the next thing that would happen.
H1ID2_9	[ordered list of remaining cards] Enter the next thing that would happen.
H1ID2_10	[ordered list of remaining cards] Enter the next thing that would happen.
H1ID2_11	[ordered list of remaining cards] Enter the next thing that would happen.
H1ID2_12	[ordered list of remaining cards] Enter the next thing that would happen.
H1ID2_13	[ordered list of remaining cards] Enter the next thing that would happen.
H1ID2_14	[ordered list of remaining cards] Enter the next thing that would happen.
H1ID2_15	[ordered list of remaining cards] Enter the next thing that would happen.
H1ID2_16	[ordered list of remaining cards] Enter the next thing that would happen.
H1ID2_17	[ordered list of remaining cards] Enter the next thing that would happen.
H1ID5	Have you taken a public or written pledge to remain a virgin until marriage?
H1ID6	[Hand R show card 17.]  How much would you like to have a romantic relationship in the next year?
H1RR1	In the last 18 months—since {MONTH, YEAR}—have you had a special romantic relationship with any one?
RR_FLAG	 A flag indicating respondents who answered “yes” to Q.1 below but who do NOT have data for any romantic relationships in Section 25 due to a programming error.
H1LR1	In the last 18 months, did you ever hold hands with someone who was not a member of your family?
H1LR2	In the last 18 months, did you ever kiss someone on the mouth who was not a member of your family?
H1LR3	In the last 18 months, did you ever tell someone who was not a member of your family that you liked or loved them?
H1LR4	Did you do these things with the same person?
H1CO1	Have you ever had sexual intercourse?  When we say sexual intercourse, we mean when a male inserts his penis into a female's vagina.
H1CO2M	In what month [and year] did you have sexual intercourse for the very first time?
H1CO2Y	In what [month and] year did you have sexual intercourse for the very first time?
H1CO3	Did you or your partner use any method of birth control the first time you had sexual intercourse?
H1CO4A	What method of birth control did you or your partner use the first time you had sexual intercourse?
H1CO4B	What other method of birth control did you or your partner use the first time you had sexual intercourse?
H1CO4C	What other method of birth control did you or your partner use the first time you had sexual intercourse?
H1CO5M	In what month [and year] did you have sexual intercourse most recently?
H1CO5Y	In what [month and] year did you have sexual intercourse most recently?
H1CO6	Did you or your partner use any method of birth control when you had sexual intercourse most recently?
H1CO7A	What method of birth control did you or your partner use?
H1CO7B	What other method of birth control did you or your partner use?
H1CO7C	What other method of birth control did you or your partner use?
H1CO8	{HAVE YOU/HAS A PARTNER OF YOURS} ever used a condom during sexual intercourse?
H1CO9	Thinking of all the times you have had sexual intercourse, about what proportion of the time {HAVE YOU/HAS A PARTNER OF YOURS} used a condom?
H1CO10	If R is male:  Did you ever physically force someone to have sexual intercourse against her will?
H1CO11	Have you ever received a birth control method from a doctor or clinic?
H1CO12A	What method of birth control did you or your partner use?  {Wrong text displayed/ read to respondent}
H1CO12B	What other method of birth control did you or your partner use?
H1CO12C	What other method of birth control did you or your partner use?
H1CO13	Have you ever taken birth control pills regularly for at least one monthly cycle?
H1CO14M	In what month [and year] did you first take birth control pills regularly for at least one monthly cycle?
H1CO14Y	In what [month and] year did you first take birth control pills regularly for at least one monthly cycle?
H1CO15	Are you currently taking birth control pills regularly?
H1CO16A	Have you ever been told by a doctor or a nurse that you had... chlamydia
H1CO16B	Have you ever been told by a doctor or a nurse that you had... syphilis
H1CO16C	Have you ever been told by a doctor or a nurse that you had... gonorrhea
H1CO16D	Have you ever been told by a doctor or a nurse that you had... HIV or AIDS
H1CO16E	Have you ever been told by a doctor or a nurse that you had... genital herpes
H1CO16F	Have you ever been told by a doctor or a nurse that you had... genital warts
H1CO16G	Have you ever been told by a doctor or a nurse that you had... trichomoniasis
H1CO16H	Have you ever been told by a doctor or a nurse that you had... hepatitis B
H1CO16J	Have you ever been told by a doctor or a nurse that you had... non-gonococcal vaginitis
H1CO17A	When were you first told you had this disease? chlamydia
H1CO17B	When were you first told you had this disease? syphilis
H1CO17C	When were you first told you had this disease? gonorrhea
HIV/AIDS	When were you first told you had this disease? HIV/AIDS
H1CO17E	When were you first told you had this disease? genital herpes
H1CO17F	When were you first told you had this disease? genital warts
H1CO17G	When were you first told you had this disease? trichomoniasis
H1CO17H	When were you first told you had this disease? hepatitis B
H1CO17I	When were you first told you had this disease? bacterial vaginosis
H1CO17J	When were you first told you had this disease? non-gonococcal vaginitis
H1RI1M_1	In what month [and year] did your relationship with {INITIALS} begin?  That is, when did you first consider {INITIALS} a special friend?
H1RI1Y_1	In what [month and] year did your relationship with {INITIALS} begin?  That is, when did you first consider {INITIALS} a special friend?
H1RI2_1	In what year did your relationship with {INITIALS} begin?
H1RI3_1	How old was {INITIALS} when your romantic relationship began?
H1RI4_1	About how old was {INITIALS}?
H1RI5A_1	What grade was {INITIALS} in at that time?
H1RI6_1	When your relationship with {INITIALS} began, did you and
H1RI7_1	When your relationship with {INITIALS} began, where did
H1RI8A_1	In what ways did you know {INITIALS} before your relationship began?  (If you knew {INITIALS} in more than one way, choose more than one answer.) You went to the same school.
H1RI8B_1	In what ways did you know {INITIALS} before your relationship began?  (If you knew {INITIALS} in more than one way, choose more than one answer.) You went to the same church, synagogue, or place of worship.
H1RI8C_1	In what ways did you know {INITIALS} before your relationship began?  (If you knew {INITIALS} in more than one way, choose more than one answer.) You were neighbors.
H1RI8D_1	In what ways did you know {INITIALS} before your relationship began?  (If you knew {INITIALS} in more than one way, choose more than one answer.) You were casual acquaintances.
H1RI8E_1	In what ways did you know {INITIALS} before your relationship began?  (If you knew {INITIALS} in more than one way, choose more than one answer.) You were friends.
H1RI8F_1	In what ways did you know {INITIALS} before your relationship began?  (If you knew {INITIALS} in more than one way, choose more than one answer.) {INITIALS} was a friend of another friend of yours.
H1RI8G_1	In what ways did you know {INITIALS} before your relationship began?  (If you knew {INITIALS} in more than one way, choose more than one answer.) some other way
H1RI8H_1	In what ways did you know {INITIALS} before your relationship began?  (If you knew {INITIALS} in more than one way, choose more than one answer.) You did not know {INITIALS} before your relationship began.  Your relationship began at your first meeting.
H1RI9_1	When your relationship with {INITIALS} began, how many of your close friends knew {INITIALS}?
H1RI10_1	Is your relationship with {INITIALS} still going on?
H1RI11M1	In what month [and year] did your relationship with {INITIALS} end?
H1RI11Y1	In what [month and] year did your relationship with {INITIALS} end?
H1RI12_1	In what year did your relationship with {INITIALS} end?
H1RI13_1	When your relationship with {INITIALS} ended, where did
H1RI14_1	[If SCHOOL:] Does {INITIALS} go to {SAMPLE SCHOOL} or
H1RI15_1	[If SCHOOL:] What grade is {INITIALS} in now?
H1RI16_1	Is {INITIALS} of Hispanic or Latino origin?
H1RI17A1	What is {INITIALS}'s Hispanic or Latino background?  (You may choose more than one answer.) Mexican/Mexican American
H1RI17B1	What is {INITIALS}'s Hispanic or Latino background?  (You may choose more than one answer.) Chicano/Chicana
H1RI17C1	What is {INITIALS}'s Hispanic or Latino background?  (You may choose more than one answer.) Cuban/Cuban American
H1RI17D1	What is {INITIALS}'s Hispanic or Latino background?  (You may choose more than one answer.) Puerto Rican
H1RI17E1	What is {INITIALS}'s Hispanic or Latino background?  (You may choose more than one answer.) Central/South American
H1RI17F1	What is {INITIALS}'s Hispanic or Latino background?  (You may choose more than one answer.) other Hispanic
H1RI18A1	What is {INITIALS}'s race?  (If {INITIALS} is of mixed race, you may choose more than one answer.) white
H1RI18B1	What is {INITIALS}'s race?  (If {INITIALS} is of mixed race, you may choose more than one answer.) black or African American
H1RI18C1	What is {INITIALS}'s race?  (If {INITIALS} is of mixed race, you may choose more than one answer.) American Indian or Native American
H1RI18D1	What is {INITIALS}'s race?  (If {INITIALS} is of mixed race, you may choose more than one answer.) Asian or Pacific Islander
H1RI18E1	What is {INITIALS}'s race?  (If {INITIALS} is of mixed race, you may choose more than one answer.) other
H1RI19A1	What is {INITIALS}'s Asian background?  (You may choose more than one answer.) Chinese
H1RI19B1	What is {INITIALS}'s Asian background?  (You may choose more than one answer.) Filipino
H1RI19C1	What is {INITIALS}'s Asian background?  (You may choose more than one answer.) Japanese
H1RI19D1	What is {INITIALS}'s Asian background?  (You may choose more than one answer.) Asian Indian
H1RI19E1	What is {INITIALS}'s Asian background?  (You may choose more than one answer.) Korean
H1RI19F1	What is {INITIALS}'s Asian background?  (You may choose more than one answer.) Vietnamese
H1RI19G1	What is {INITIALS}'s Asian background?  (You may choose more than one answer.) other
H1RI20_1	What is {INITIALS}'s sex?
H1RI21A1	[letters of rejected cards] A.   We went out together in a group.
H1RI21B1	[letters of rejected cards] B.   I met my partner's parents.
H1RI21C1	[letters of rejected cards] C.   I told other people that we were a couple.
H1RI21D1	[letters of rejected cards] D.   I saw less of my other friends so I could spend more time with my partner.
H1RI21E1	[letters of rejected cards] E.   We went out together alone.
H1RI21F1	[letters of rejected cards] F.   We held hands.
H1RI21G1	[letters of rejected cards] G.   I gave my partner a present.
H1RI21H1	[letters of rejected cards] H.   My partner gave me a present.
H1RI21I1	[letters of rejected cards] I.    I told my partner that I loved him or her.
H1RI21J1	[letters of rejected cards] J.    My partner told me that he or she loved me.
H1RI21K1	[letters of rejected cards] K.   We thought of ourselves as a couple.
H1RI21L1	[letters of rejected cards] L.   We talked about contraception or sexually transmitted diseases.
H1RI21M1	[letters of rejected cards] M.  We kissed.
H1RI21N1	[letters of rejected cards] N.   We touched each other under our clothing or with no clothes on.
H1RI21O1	[letters of rejected cards] O.   We had sexual intercourse.
H1RI21P1	[letters of rejected cards] P.   We touched each others' genitals (private parts).
H1RI21R1	[letters of rejected cards] R.   We got married.
H1RI22A1	Enter the first thing that happened in your relationship with
H1RI22M1	 Enter the next [thirteenth] thing that happened in your relationship with {INITIALS}.
H1RI22N1	 Enter the next [fourteenth] thing that happened in your relationship with {INITIALS}.
H1RI22Q1	 Enter the next [seventeenth] thing that happened in your relationship with {INITIALS}.
H1RI22R1	 Enter the next [eighteenth] thing that happened in your relationship with {INITIALS}.
H1RI24A1	If R is male: When you had sexual intercourse with {INITIALS} did you insert your penis into her vagina?
H1RI25M1	In what month [and year] did you first have sexual intercourse with
H1RI25Y1	In what [month and] year did you first have sexual intercourse with
H1RI26M1	In what month [and year] did you have sexual intercourse with
H1RI26Y1	In what [month and] year did you have sexual intercourse with
H1RI27_1	Did you and {INITIALS} have intercourse once, or more than once?
H1RI28_1	Did you or {INITIALS} use any method of birth control?
H1RI29A1	What method of birth control did you or your partner use?
H1RI29B1	What other method of birth control did you or your partner use?
H1RI29C1	What other method of birth control did you or your partner use?
H1RI30_1	Was a condom used when you had sexual intercourse with
H1RI31_1	During the month when you and {INITIALS} had sexual intercourse, did either of you ever use any method of birth control?
H1RI32_1	Did one or the other of you use some method of birth control every time you and {INITIALS} had intercourse?
H1RI33A1	What method of birth control did you or your partner use?
H1RI33B1	What other method of birth control did you or your partner use?
H1RI33C1	What other method of birth control did you or your partner use?
H1RI34_1	Was a condom ever used when you had sexual intercourse with
H1RI35_1	Did you and {INITIALS} use more than one birth control method at the same time, or did you use these methods at different times?
H1RI36_1	Between {FIRST DATE} and {LAST DATE}, when you and
H1RI37_1	Throughout these months, did one or the other of you use some method of birth control every time you and {INITIALS} had intercourse?
H1RI38A1	What method of birth control did you or your partner use?
H1RI38B1	What other method of birth control did you or your partner use?
H1RI38C1	What other method of birth control did you or your partner use?
H1RI39_1	Was a condom ever used when you had sexual intercourse with
H1RI40_1	Did you and {INITIALS} use more than one birth control method at the same time, or did you use these methods at different times?
H1RI41_1	About how many times have you and {INITIALS} had sexual intercourse since {FIRST INTERCOURSE DATE}?
H1RI1M_2	In what month [and year] did your relationship with {INITIALS} begin?  That is, when did you first consider {INITIALS} a special friend?
H1RI1Y_2	In what [month and] year did your relationship with {INITIALS} begin?  That is, when did you first consider {INITIALS} a special friend?
H1RI2_2	In what year did your relationship with {INITIALS} begin?
H1RI3_2	How old was {INITIALS} when your romantic relationship began?
H1RI4_2	About how old was {INITIALS}?
H1RI5A_2	What grade was {INITIALS} in at that time?
H1RI6_2	When your relationship with {INITIALS} began, did you and
H1RI7_2	When your relationship with {INITIALS} began, where did
H1RI8A_2	In what ways did you know {INITIALS} before your relationship began?  (If you knew {INITIALS} in more than one way, choose more than one answer.) You went to the same school.
H1RI8B_2	In what ways did you know {INITIALS} before your relationship began?  (If you knew {INITIALS} in more than one way, choose more than one answer.) You went to the same church, synagogue, or place of worship.
H1RI8C_2	In what ways did you know {INITIALS} before your relationship began?  (If you knew {INITIALS} in more than one way, choose more than one answer.) You were neighbors.
H1RI8D_2	In what ways did you know {INITIALS} before your relationship began?  (If you knew {INITIALS} in more than one way, choose more than one answer.) You were casual acquaintances.
H1RI8E_2	In what ways did you know {INITIALS} before your relationship began?  (If you knew {INITIALS} in more than one way, choose more than one answer.) You were friends.
H1RI8F_2	In what ways did you know {INITIALS} before your relationship began?  (If you knew {INITIALS} in more than one way, choose more than one answer.) {INITIALS} was a friend of another friend of yours.
H1RI8G_2	In what ways did you know {INITIALS} before your relationship began?  (If you knew {INITIALS} in more than one way, choose more than one answer.) some other way
H1RI8H_2	In what ways did you know {INITIALS} before your relationship began?  (If you knew {INITIALS} in more than one way, choose more than one answer.) You did not know {INITIALS} before our relationship began.  Your relationship began at your first meeting.
H1RI9_2	When your relationship with {INITIALS} began, how many of your close friends knew {INITIALS}?
H1RI10_2	Is your relationship with {INITIALS} still going on?
H1RI11M2	In what month and year did your relationship with {INITIALS} end?
H1RI11Y2	In what [month and] year did your relationship with {INITIALS} end?
H1RI12_2	In what year did your relationship with {INITIALS} end?
H1RI13_2	When your relationship with {INITIALS} ended, where did
H1RI14_2	[If SCHOOL:] Does {INITIALS} go to {SAMPLE SCHOOL} or
H1RI15_2	[If SCHOOL:] What grade is {INITIALS} in now?
H1RI16_2	Is {INITIALS} of Hispanic or Latino origin?
H1RI17A2	What is {INITIALS}'s Hispanic or Latino background?  (You may choose more than one answer.) Mexican/Mexican American
H1RI17B2	What is {INITIALS}'s Hispanic or Latino background?  (You may choose more than one answer.) Chicano/Chicana
H1RI17C2	What is {INITIALS}'s Hispanic or Latino background?  (You may choose more than one answer.) Cuban/Cuban American
H1RI17D2	What is {INITIALS}'s Hispanic or Latino background?  (You may choose more than one answer.) Puerto Rican
H1RI17E2	What is {INITIALS}'s Hispanic or Latino background?  (You may choose more than one answer.) Central/South American
H1RI17F2	What is {INITIALS}'s Hispanic or Latino background?  (You may choose more than one answer.) other Hispanic
H1RI18A2	What is {INITIALS}'s race?  (If {INITIALS} is of mixed race, you may choose more than one answer.) white
H1RI18B2	What is {INITIALS}'s race?  (If {INITIALS} is of mixed race, you may choose more than one answer.) black or African American
H1RI18C2	What is {INITIALS}'s race?  (If {INITIALS} is of mixed race, you may choose more than one answer.) American Indian or Native American
H1RI18D2	What is {INITIALS}'s race?  (If {INITIALS} is of mixed race, you may choose more than one answer.) Asian or Pacific Islander
