AID	RESPONDENT IDENTIFIER
H4MH17A	9-4-3-7-6-2-5-8 (8-5-2-6-7-3-4-9)
H4MH17B	7-2-8-1-9-6-5-3 (3-5-6-9-1-8-2-7)
C4NUMSCR	Total score on number recall task*
H4MH18	You were bothered by things that usually don't bother you.
H4MH19	(During the past seven days:) You could not shake off the blues, even with help from your family and your friends.
H4MH20	(During the past seven days:) You felt you were just as good as other people.
H4MH21	(During the past seven days:) You had trouble keeping your mind on what you were doing.
H4MH22	(During the past seven days:) You felt depressed.
H4MH23	(During the past seven days:) You felt that you were too tired to do things.
H4MH24	(During the past seven days:) You felt happy.
H4MH25	(During the past seven days:) You enjoyed life.
H4MH26	(During the past seven days:) You felt sad.
H4MH27	(During the past seven days:) You felt that people disliked you, during the past seven days.
H4MH28	In your day-to-day life, how often do you feel you have been treated with less respect or courtesy than other people?
H4MH29	What do you think was the main reason for these experiences? Choose only one reason.
H4SE1	During the past 12 months, have you ever seriously thought about committing suicide?
H4SE2	During the past 12 months, how many times have you actually attempted suicide?
H4SE3	Did any attempt result in an injury, poisoning, or overdose that had to be treated by a doctor or nurse?
H4SE4	During the past 12 months, have any of your family or friends tried to kill themselves?
H4SE5	Have any of them died as a result?
H4SE6	Have you ever had vaginal intercourse? (Vaginal intercourse is
H4SE7	How old were you the first time you ever had vaginal intercourse? NOTE: Smallest 5 and largest 5 values are displayed.
H4SE8	With how many partners have you ever had vaginal intercourse, even if only once?
H4SE9	Have you ever had oral sex? That is, has a partner ever put his/her mouth on your sex organs or you put your mouth on his/her sex organs?
H4SE10	How old were you the very first time you had oral sex? NOTE: Smallest 5 and largest 5 values are displayed.
H4SE11	Have you ever had anal intercourse? (By anal intercourse, we mean when a man inserts his penis into his partner's anus or butt hole.)
H4SE12	How old were you the very first time you had anal intercourse? NOTE: Smallest 5 and largest 5 values are displayed.
H4SE13	Considering all types of sexual activity, with how many male partners have you ever had sex?
H4SE14	What is your best estimate, is it
H4SE15	Considering all types of sexual activity, with how many male partners did you have sex before you were 18 years old, even if only one time?
H4SE16	What is your best estimate, is it
H4SE17	Considering all types of sexual activity, with how many male partners have you had sex in the past 12 months, even if only one time?
H4SE18	What is your best estimate, is it
H4SE19	Considering all types of sexual activity, with how many female partners have you ever had sex?
H4SE20	What is your best estimate, is it
H4SE21	Considering all types of sexual activity, with how many female partners did you have sex before you were 18 years old, even if only one time?
H4SE22	What is your best estimate, is it
H4SE23	Considering all types of sexual activity, with how many female partners have you had sex in the past 12 months?
H4SE24	What is your best estimate, is it:
H4SE25	Considering all types of sexual activity, with how many partners, male or female, have you had sex on one and only one occasion? NOTE: Smallest 5 and largest 5 values are displayed.
H4SE26A	condoms (rubbers)
H4SE26B	female condom
H4SE26C	birth control pills
H4SE26D	shot (Depo-Provera)
H4SE26E	emergency contraception or 'morning after' pill
H4SE26F	Norplant
H4SE26G	diaphragm, cap or shield
H4SE26H	IUD (intrauterine device), coil, loop
H4SE26I	natural family planning (safe periods by temperature, cervical mucus test)
H4SE26J	withdrawal (pulling out)
H4SE26K	rhythm or safe period by calendar
H4SE26L	vaginal sponge
H4SE26M	spermicide foam, jelly, creme, suppositories
H4SE26N	ring (NuvaRing)
H4SE26O	patch (Ortho Evra)
H4SE26P	contraceptive film
H4SE26Q	emergency IUD insertion
H4SE26R	vasectomy
H4SE26S	tubal ligation/sterilization
H4SE26T	some other method
H4SE26V	no method used
H4SE27	In the past 12 months, did you have sex with more than one partner at around the same time?
H4SE28	In the past 12 months, how many times have you paid someone to have sex with you or has someone paid you to have sex with them?
H4SE29	Are you romantically attracted to females?
H4SE30	Are you romantically attracted to males?
H4SE31	Please choose the description that best fits how you think about yourself
H4SE32	Have you ever been forced, in a non-physical way, to have any type of sexual activity against your will? For example, through verbal pressure, threats of harm, or by being given alcohol or drugs? Do not include any experiences with a parent or adult caregiver.
H4SE33	How old were you the first or only time this happened? NOTE: Smallest 5 and largest 5 values are displayed.
H4SE34	Have you ever been physically forced to have any type of sexual activity against your will? Do not include any experiences with a parent or adult caregiver.
H4SE35	How old were you the first or only time this happened? NOTE: Smallest 5 and largest 5 values are displayed.
H4SE36A	chlamydia
H4SE36B	gonorrhea
H4SE36C	trichomoniasis
H4SE36D	syphilis
H4SE36E	genital herpes
H4SE36F	genital warts
H4SE36G	hepatitis B (HBV)
H4SE36H	human papilloma virus (HPV)
H4SE36I	pelvic inflammatory disease (PID)
H4SE36J	cervicitis or mucopurulent cervicitis (MPC)
H4SE36K	urethritis
H4SE36L	vaginitis
H4SE36N	any other sexually transmitted disease
H4SE36O	have had no sexually transmitted diseases
H4SE37A	chlamydia*
H4SE37B	gonorrhea*
H4SE37C	trichomoniasis*
H4SE37D	syphilis*
H4SE37E	genital herpes*
H4SE37F	genital warts*
H4SE37G	hepatitis B (HBV)*
H4SE37H	human papilloma virus (HPV)*
H4SE37I	pelvic inflammatory disease (PID)*
H4SE37J	cervicitis or mucopurulent cervicitis (MPC)*
H4SE37K	urethritis*
H4SE37L	vaginitis*
H4SE37N	any other sexually transmitted disease*
H4SE37O	have had no sexually transmitted diseases*
H4TR1	How many persons have you ever married? Be sure to include your current spouse if you are married now.
H4TR2	[If Q.1=0] ask: How many romantic or sexual partners have you ever lived with for one month or more? By 'lived with' we mean that neither of you kept a separate residence while you were living together. [If Q.1>0] ask: Not counting the {fill Q.1} (partner/partners) you married, how many other romantic or sexual partners have you ever lived with for one month or more? By 'lived with' we mean that neither of you  kept a separate residence while you were living together.
H4TR3	[If Q.1 + Q.2=0] ask: With how many persons have you ever had a romantic relationship or sexual encounter that resulted in a pregnancy? [If Q.1>0 and Q.2>0] ask: Not counting the {fill Q.1} (partner/partners) you married or the {fill Q.2} (partner/partners} you lived with, with how many other persons have you ever had a romantic relationship or sexual encounter that resulted in a pregnancy? [If Q.1>0 and Q.2=0] ask: Not counting the {fill Q.1} (partner/partners) you married, with how many other persons have you ever had a romantic relationship or sexual encounter that resulted in a pregnancy? [If Q.1=0 and Q.2>0] ask: Not counting the {fill Q.2} (partner/partners) you lived with, with how many other persons have you ever had a romantic relationship or sexual encounter that resulted in a pregnancy?
H4TR4	[If Q.1 + Q.2 + Q.3=0] ask: With how many persons are you currently having a romantic or sexual relationship? [If Q.1 + Q.2 + Q.3>0] ask: Not counting (those partners/that partner), with how many other persons are you currently having a romantic or sexual relationship?
H4TR5	[If Q.1 + Q.2 + Q.3 + Q.4=0] ask: With how many people have you had a romantic or sexual relationship that lasted 6 months or more since 2001? [If Q.1 + Q.2 + Q.3 + Q.4>0] ask: Not counting (those partners/that partner), with how many other people have you had a romantic or sexual relationship that lasted 6 months or more since 2001?
H4TR6	[If Q.1 + Q.2 + Q.3 + Q.4 + Q.5 = 0] ask: With how many people have you had a romantic or sexual relationship that lasted less than 6 months since 2001? [If Q.1 + Q.2 + Q.3 + Q.4 + Q.5 >0] ask: Not counting (those partners/that partner), with how many other people have you had a romantic or sexual relationship that lasted less than 6 months since 2001?
H4TR7	Are you pregnant now? *
H4TR8	Do you think that you are probably pregnant, or not? *
H4TR9	Thinking about all the relationships and sexual encounters you have ever had, (how many times have you ever been pregnant/how many times have you ever made a partner pregnant)? Include all pregnancies, whether they resulted in babies born alive, stillbirth, abortion, miscarriage, or ectopic or tubal pregnancy. [If Q.7=1] say: Be sure to include your current pregnancy in your count.
H4TR10	How many live births resulted from (this pregnancy/these pregnancies)?
H4TR11	How many of these children are still living?
H4TR12	During any of the romantic relationships you have ever had, (have you/has your partner) ever had trouble getting pregnant or trouble avoiding a miscarriage?
PTNR_ID	Partner Identifier
H4RD1	How old were you when you first became romantically or sexually
H4RD2D	What is the total amount of time that you (have been/were) involved in a romantic or sexual relationship with {initials} - days? NOTE: Smallest 5 and largest 5 values are displayed.
H4RD2M	What is the total amount of time that you (have been/were) involved in a romantic or sexual relationship with {initials} - months?
H4RD2Y	What is the total amount of time that you (have been/were) involved in a romantic or sexual relationship with {initials} - years? NOTE: Smallest 5 and largest 5 values are displayed.
H4RD3	Which of the following best describes your relationship with {initials} at the (present time/time you broke up)?
H4RD4	(Do/did) either you or {initials} have a residence other than the one you share?
H4RD5	In an average week, how often (did/do) you and {initials} spend the entire night together?
H4RD6	What is the current status of your marriage to {initials}?
H4RD7A	We (enjoy/enjoyed) doing even ordinary, day-to-day things together.
H4RD7B	I (am/was) satisfied with the way we handle our problems and disagreements.
H4RD7C	I (am/was) satisfied with the way we handle family finances.
H4RD7D	My partner (listens/listened) to me when I need someone to talk to.
H4RD7E	My partner (expresses/expressed) love and affection to me.
H4RD7F	I (am/was) satisfied with our sex life.
H4RD7G	I (trust/trusted) my partner to be faithful to me.
H4RD8	How much do you love {initials}?
H4RD9	In general, how happy are you in your relationship with {initials}?
H4RD10	How committed are you to your relationship with {initials}?
H4RD11	What is the chance that you and {initials} will marry each other?
H4RD12	Select the picture, by entering the number under the picture, which best illustrates how close you feel to {initials}.
H4RD13	How likely is it that your relationship with {initials} will be permanent?
H4RD14	On average, how often (did/do) you have sexual relations with
H4RD14T	On average, how often (did/do) you have sexual relations with
H4RD15	On average, how often (do/did) you or {initials} use a contraceptive method of birth control or disease prevention?
H4RD16	As far as you know, during the time you and {initials} (have had/had) a sexual relationship, (has/did) {initials} ever (had/have) any other sexual partners?
H4RD17	During the time you and {initials} (have had/had) a sexual relationship (have/did) you ever (had/have) any other sexual partners?
H4RD18	How often (has/did) {initials} (threatened/threaten) you with violence, (pushed/push) or (shoved/shove) you, or (thrown/throw) something at you that could hurt?
H4RD19	How often (has/did) {initials} (slapped/slap), hit or (kicked/kick) you?
H4RD20	How often (have/did) you (had/have) an injury, such as a sprain, bruise, or cut because of a fight with {initials}?
H4RD21	How often (has/did) {initials} (insisted/insist) on or (made/make) you have sexual relations with (him/her) when you didn't want to?
H4RD22	How often (have/did) you threatened {initials} with violence, pushed or shoved (him/her), or thrown something at (him/her) that could hurt?
H4RD23	How often (have/did) you (slapped/slap), hit, or (kicked/kick)
H4RD24	How often (has/did) {initials} (had/have) an injury, such as a sprain, bruise, or cut because of a fight with you?
H4RD25	How often (have/did) you (insisted/insist) on or (made/make)
H4KK14	What language do you speak to your child/children when you are together at home?
H4KK15A	I am happy in my role as parent.
H4KK15B	I feel close to my child(ren).
H4KK15C	The major source of stress in my life is my child(ren).
H4KK15D	I feel overwhelmed by the responsibility of being a parent.
H4DS1	In the past 12 months, how often did you deliberately damage property that didn't belong to you?
H4DS2	In the past 12 months, how often did you steal something worth more than $50?
H4DS3	In the past 12 months, how often did you go into a house or building to steal something?
H4DS4	In the past 12 months, how often did you use or threaten to use a weapon to get something from someone?
H4DS5	In the past 12 months, how often did you sell marijuana or other drugs?
H4DS6	In the past 12 months, how often did you steal something worth less than $50?
H4DS7	In the past 12 months, how often did you take part in a physical fight where a group of your friends was against another group?
H4DS8	In the past 12 months, how often did you buy, sell, or hold stolen property?
H4DS9	In the past 12 months, how often did you use someone else's credit card, bank card, or automatic teller card without their permission or knowledge?
H4DS10	In the past 12 months, how often did you deliberately write a bad check?
H4DS11	In the past 12 months, how often did you get into a serious physical fight?
H4DS12	In the past 12 months, how often did you hurt someone badly enough in a physical fight that he or she needed care from a doctor or nurse?
H4DS13	Someone stole something from you worth more than $50?
H4DS14	You saw someone shoot or stab another person?
H4DS15	Someone pulled a knife or gun on you?
H4DS16	Someone shot or stabbed you?
H4DS17	Someone slapped, hit, choked, or kicked you?
H4DS18	You were beaten up?
H4DS19	You pulled a knife or gun on someone?
H4DS20	You shot or stabbed someone?
H4CJ1	Have you ever been arrested?
H4CJ2	How many times have you been arrested?
H4CJ3	How old were you?*
H4CJ4	How old were you the first time you were arrested?* NOTE: Smallest 5 and largest 5 values are displayed.
H4CJ5	How many times were you arrested before your 18th birthday?*
H4CJ6	How many times have you been arrested since your 18th birthday?* NOTE: Smallest 5 and largest 5 values are displayed.
H4CJ7A	driving under the influence (DUI; DWI)
H4CJ7B	other alcohol-related offenses (underage purchase or consumption; open container; public intoxication; disorderly conduct; other liquor law violations)
H4CJ7C	marijuana offenses (possession, sale, use, growing, or manufacturing of marijuana/hashish)
H4CJ7D	other drug offenses (unlawful possession, sale, use, or manufacturing of other narcotic drugs)
H4CJ7E	robbery (taking or attempting to take something using a weapon or physical force)
H4CJ7F	theft (taking something without using force, such as larceny, burglary, or shoplifting)
H4CJ7G	forcible rape (does not include statutory rape)
H4CJ7H	aggravated assault/intentional manslaughter/murder (unlawful attack upon another for the purpose of causing severe injury or death, simple assaults are excluded)
H4CJ7I	simple assault (assaults and attempted assaults where no weapon is used and the victim is not seriously injured)
H4CJ7J	fraud, forgery, or embezzlement
H4CJ7K	other offenses
H4CJ8	How old were you the last time you were arrested?* NOTE: Smallest 5 and largest 5 values are displayed.
H4CJ9A	driving under the influence (DUI; DWI)
H4CJ9B	other alcohol-related offenses (underage purchase or consumption; open container; public intoxication; disorderly conduct; other liquor law violations)
H4CJ9C	marijuana offenses (possession, sale, use, growing, or manufacturing of marijuana/hashish)
H4CJ9D	other drug offenses (unlawful possession, sale, use, or manufacturing of other narcotic drugs)
H4CJ9E	robbery (taking or attempting to take something using a weapon or physical force)
H4CJ9F	theft (taking something without using force, such as larceny, burglary, or shoplifting)
H4CJ9G	forcible rape (does not include statutory rape)
H4CJ9H	aggravated assault/intentional manslaughter/murder (unlawful attack upon another for the purpose of causing severe injury or death, simple assaults are excluded)
H4CJ9I	simple assault (assaults and attempted assaults where no weapon is used and the victim is not seriously injured)
H4CJ9J	fraud, forgery, or embezzlement
H4CJ9K	other offenses
H4CJ10	Have you ever been convicted of or pled guilty to any charges other than a minor traffic violation?
H4CJ11	How old were you when you were convicted or pled guilty?* NOTE: Smallest 5 and largest 5 values are displayed.
H4CJ12	How old were you the first time you were convicted or pled guilty to something?
H4CJ13A	driving under the influence (DUI; DWI)
H4CJ13B	other alcohol-related offenses (underage purchase or consumption; open container; public intoxication; disorderly conduct; other liquor law violations)
H4CJ13C	marijuana offenses (possession, sale, use, growing, or manufacturing of marijuana/hashish)
H4CJ13D	other drug offenses (unlawful possession, sale, use, or manufacturing of other narcotic drugs)
H4CJ13E	robbery (taking or attempting to take something using a weapon or physical force)
H4CJ13F	theft (taking something without using force, such as larceny, burglary, or shoplifting)
H4CJ13G	forcible rape (does not include statutory rape)
H4CJ13H	aggravated assault/intentional manslaughter/murder (unlawful attack upon another for the purpose of causing severe injury or death, simple assaults are excluded)
H4CJ13I	simple assault (assaults and attempted assaults where no weapon is used and the victim is not seriously injured)
H4CJ13J	fraud, forgery, or embezzlement
H4CJ13K	other offenses
H4CJ14	How old were you the last time you were convicted of or pled guilty to something?*
H4CJ15A	driving under the influence (DUI; DWI)
H4CJ15B	other alcohol-related offenses (underage purchase or consumption; open container; public intoxication; disorderly conduct; other liquor law violations)
H4CJ15C	marijuana offenses (possession, sale, use, growing, or manufacturing of marijuana/hashish)
H4CJ15D	other drug offenses (unlawful possession, sale, use, or manufacturing of other narcotic drugs)
H4CJ15E	robbery (taking or attempting to take something using a weapon or physical force)
H4CJ15F	theft (taking something without using force, such as larceny, burglary, or shoplifting)
H4CJ15G	forcible rape (does not include statutory rape)
H4CJ15H	aggravated assault/intentional manslaughter/murder (unlawful attack upon another for the purpose of causing severe injury or death, simple assaults are excluded)
H4CJ15I	simple assault (assaults and attempted assaults where no weapon is used and the victim is not seriously injured)
H4CJ15J	fraud, forgery, or embezzlement
H4CJ15K	other offenses
H4CJ16	Have you ever been on probation for an offense?
H4CJ17	Have you ever spent time in a jail, prison, juvenile detention center or other correctional facility?
H4CJ18	How many times have you been in a jail, prison, juvenile detention center or other correctional facility?
H4CJ19	How old were you when you went to jail, prison, juvenile detention center or other correctional facility?
H4CJ20	How old were you the first time you went to jail, prison, juvenile detention or other correctional facility?*
H4CJ21	[if PRISON4=0, ask version: ] How old were you the last time you went to jail, prison, juvenile detention or other correctional facility?
H4CJ22Y	How much time were you sentenced to serve? [years]
H4CJ22M	How much time were you sentenced to serve? [months]
H4CJ23Y	How much time were you sentenced to serve this last time? [years]
H4CJ23M	How much time were you sentenced to serve this last time? [months]
H4CJ24Y	Before your 18th birthday, about how much total time did you spend in jail or detention? [years]
H4CJ24M	Before your 18th birthday, about how much total time did you spend in jail or detention? [months]
H4CJ25Y	Since your 18th birthday, about how much total time have you spent in jail or prison? [years]*
H4CJ25M	Since your 18th birthday, about how much total time have you spent in jail or prison? [months]
H4TO1	Have you ever smoked an entire cigarette?
H4TO2	How old were you the first time you smoked a whole cigarette? NOTE: Smallest 5 and largest 5 values are displayed.
H4TO3	Have you ever smoked cigarettes regularly--that is, at least one cigarette every day for 30 days?
H4TO4	How old were you when you first smoked cigarettes regularly that is, at least one cigarette every day for 30 days?
H4TO5	During the past 30 days, on how many days did you smoke cigarettes?
H4TO6	During the past 30 days, on the days you smoked, how many cigarettes did you smoke each day?
H4TO7	Was there ever a period in your life when you smoked cigarettes more than you do now?
H4TO8	Currently, how soon after you wake up do you have your first cigarette?
H4TO9	Do you find it difficult not to smoke cigarettes in places where it is forbidden, for example, in church, at the library, or in theaters?
H4TO10	Which cigarette would you hate most to give up?
H4TO11	How many cigarettes a day do you smoke?
H4TO12	Do you smoke cigarettes more frequently during the first hours after waking than during the rest of the day?
H4TO13	Do you smoke cigarettes even if you are so ill that you are in bed most of the day?
H4TO14	How old were you the first time you had any of these cigarette smoking experiences?
H4TO15	These next questions are about the period of time when you smoked the most. When you smoked the most, how soon after you woke up did you have your first cigarette?
H4TO16	When you smoked the most, did you find it difficult not to smoke cigarettes in places where it is forbidden, for example, in church, at the library, or in theaters?
H4TO17	When you smoked the most, which cigarette did you hate most to give up?
H4TO18	When you smoked the most, how many cigarettes a day did you smoke?
H4TO19	When you smoked the most, did you smoke cigarettes more frequently during the first hours after waking than during the rest of the day?
H4TO20	When you smoked the most, did you smoke cigarettes even if you were so ill that you were in bed most of the day?
H4TO21	How old were you the first time you had any of these cigarette smoking experiences?
H4TO22	Do you still have any of these smoking experiences?
H4TO23	Have you smoked a cigar or pipe at least 20 times in your entire life?
H4TO24	During the past 30 days, how many days did you smoke cigars or a pipe?
H4TO25	Have you used chewing tobacco (such as Red Man, Garrett, or Beechnut) or snuff (such as Skoal, Skoal Bandits, or Copenhagen) at least 20 times in your entire life?
H4TO26	During the past 30 days, on how many days have you used chewing tobacco (such as Red Man, Garrett, or Beechnut) or snuff (such as Skoal, Skoal Bandits, or Copenhagen)?
H4TO27	Have you ever tried to quit or cut down on smoking or using tobacco?
H4TO28	Has there ever been a period of time when you wanted to quit or cut down on smoking or using tobacco?
H4TO29	When you decided to quit or cut down on smoking or using tobacco, were you able to do so for at least one month?
H4TO30	How many times have you tried but been unable to quit smoking or using tobacco for at least one month?
H4TO31	Did you smoke cigarettes, cigars, a pipe or use chewing tobacco within the past 24 hours?
H4TO32H	At what time did you last smoke cigarettes, cigars, a pipe or use chewing tobacco? [Hour]
H4TO32M	At what time did you last smoke cigarettes, cigars, a pipe or use chewing tobacco? [Minute]
H4TO32T	At what time did you last smoke cigarettes, cigars, a pipe or use chewing tobacco? [am/pm]
H4TO33	Have you had a drink of beer, wine, or liquor more than two or three times? Do not include sips or tastes from someone else's drink.
H4TO34	How old were you when you first had an alcoholic drink? By drink, we mean a glass of wine, a can or bottle of beer, a wine cooler, a shot glass of liquor, or a mixed drink, not just sips or tastes from someone else's drink.
H4TO35	During the past 12 months, on how many days did you drink
H4TO36	Think of all the times you have had a drink during the past 12 months. How many drinks did you usually have each time? A 'drink' is a glass of wine, a can or bottle of beer, a wine cooler, a shot glass of liquor, or a mixed drink.
H4TO37	During the past 12 months, on how many days did you drink [5 or more/4 or more] drinks in a row?
H4TO38	During the past 12 months, on how many days have you been drunk or very high on alcohol?
H4TO39	During the past 30 days, on how many days did you drink?
H4TO40	Think of all the times you have had a drink during the past 30 days. How many drinks did you usually have each time? A 'drink' is a glass of wine, a can or bottle of beer, a wine cooler, a shot glass of liquor, or a mixed drink.
H4TO41	Did you have an alcoholic drink (beer, wine, or liquor) within the past 24 hours?
H4TO42H	At what time did you last have an alcoholic drink? [Hour]
H4TO42M	At what time did you last have an alcoholic drink? [Minute] NOTE: Smallest 5 and largest 5 values are displayed.
H4TO42T	At what time did you last have an alcoholic drink? [am/pm]
H4TO43	Was there ever a period in your life when you drank more alcohol than you do now?
H4TO44	During the period when you drank the most, on how many days did you drink?
H4TO45	During the period when you drank the most, how many drinks did you usually have each time?
H4TO46	How often has your drinking interfered with your responsibilities at work or school?
H4TO47	How often have you been under the influence of alcohol when you could have gotten yourself or others hurt, or put yourself or others at risk, including unprotected sex?
H4TO48	How often have you had legal problems because of your drinking, like being arrested for disturbing the peace or driving under the influence of alcohol, or anything else?
H4TO49	How often have you had problems with your family, friends, or people at work or school because of your drinking?
H4TO50	Did you continue to drink after you realized drinking was causing you problems with family, friends, or people at work or school?
H4TO51	Have you ever found that you had to drink more than you used to in order to get the effect you wanted?
H4TO52	Has there ever been a period when you spent a lot of time
H4TO53	Have you often had more to drink or kept drinking for a longer period of time than you intended?
H4TO54	Have you ever tried to quit or cut down on your drinking?
H4TO55	Has there ever been a period of time when you wanted to quit or cut down on your drinking?
H4TO56	When you decided to cut down or quit drinking, were you able to do so for at least one month?
H4TO57	How many times have you tried but been unable to cut down or quit drinking for at least one month?
H4TO58	During the first few hours of not drinking, do you experience withdrawal symptoms such as the shakes, feeling anxious, trouble getting to sleep or staying asleep, nausea, vomiting, or rapid heart beats?
H4TO59	Have you ever continued to drink after you realized drinking was causing you any emotional problems (such as feeling irritable, depressed, or uninterested in things or having strange ideas) or causing you any health problems (such as ulcers, numbness in your hands/feet or memory problems)?
H4TO60	Have you ever given up or cut down on important activities that would interfere with drinking like getting together with friends or relatives, going to work or school, participating in sports, or anything else?
H4TO61	Did (at least three of) these experiences occur together in a 12- month period?
H4TO62	How old were you when you first experienced these symptoms in the same 12 month period?
H4TO63	Have you ever taken any prescription drugs that were not prescribed for you, taken prescription drugs in larger amounts than prescribed, more often than prescribed, for longer periods than prescribed, or taken prescription drugs that you took only for the feeling or experience they caused?
H4TO64A	sedatives or downers, such as barbiturates, sleeping pills, Quaalude, or Seconal
H4TO64B	tranquilizers, such as Librium, Valium, or Xanax
H4TO64C	stimulants or uppers, such as amphetamines, prescription diet pills, Ritalin, Preludin, or speed
H4TO64D	pain killers or opioids, such as Vicodin, OxyContin, Percocet, Demerol, Percodan, or Tylenol with codeine
H4TO65A	steroids, anabolic steroids or 'body building' drugs
H4TO65B	marijuana (hash, bhang, ganja)
H4TO65C	cocaine (crack, coca leaves)
H4TO65D	crystal meth (ice)
H4TO65E	other types of illegal drugs, such as LSD, PCP, ecstasy, heroin, or mushrooms; or inhalants
H4TO66	Have you ever injected (shot up with a needle) any illegal drug, such as heroin or cocaine?
H4TO67	During the past 30 days, how many times did you inject an illegal drug?
H4TO68	How old were you the first time you used marijuana? NOTE: Smallest 5 and largest 5 values are displayed.
H4TO69	Have you used marijuana more than 5 times?
H4TO70	During the past 12 months, on how many days did you use marijuana?
H4TO71	During the past 30 days, on how many days did you use marijuana?
H4TO72	Have you used marijuana within the past 24 hours?
H4TO73H	At what time did you last use marijuana? [Hour]
H4TO73M	At what time did you last use marijuana? [Minute] NOTE: Smallest 5 and largest 5 values are displayed.
H4TO73T	At what time did you last use marijuana? [am/pm]
H4TO74	Was there ever a time when you used marijuana more than you do now?
H4TO75	During the period when you used marijuana the most, did you use marijuana:
H4TO76	How many times has each of the following things ever happened?
H4TO77	How often have you been under the influence of marijuana when you could have gotten yourself or others hurt, or put yourself or others at risk, including unprotected sex?
H4TO78	How often have you had legal problems because of your marijuana use, like being arrested for disturbing the peace or anything else?
H4TO79	How often have you had problems with your family, friends, or people at work or school because of your marijuana use?
H4TO80	Did you continue to use marijuana after you realized using it was causing you problems with family, friends, or people at work or school?
H4TO81	Have you ever found that you had to use more marijuana than you used to in order to get the effect you wanted?
H4TO82	Has there ever been a period when you spent a lot of time using marijuana, getting it, or getting over its effects?
H4TO83	Have you often used more marijuana or used marijuana longer than you intended?
H4TO84	Have you ever tried to quit or cut down on your use of marijuana?
H4TO85	Has there ever been a period of time when you wanted to quit or cut down on your use of marijuana?
H4TO86	When you decided to cut down or quit using marijuana, were you able to do so for at least one month
H4TO87	How many times have you tried but been unable to cut down or quit using marijuana for at least one month?
H4TO88	During the first few hours of not using marijuana, do you
H4TO89	Have you ever continued to use marijuana after you realized using marijuana was causing you any emotional problems (such as feeling depressed or empty, feeling irritable or aggressive, feeling paranoid or confused, feeling anxious or tense, being jumpy or easily startled) or causing you any health problems (such as persistent cough, sore throat or sinus problems, heart pounding, headaches or dizziness, or sexual difficulties)?
H4TO90	Have you ever given up or cut down on important activities that would interfere with your marijuana use like getting together with friends or relatives, going to work or school, participating in sports, or anything else?
H4TO91	Did (at least three of) these experiences occur together in a 12- month period?
H4TO92	How old were you when you first experienced these symptoms in the same 12 month period?
H4TO93	Which one of these illegal drugs do you use most often?
H4TO94	You said you have used these types of drugs (fill from list of drugs according to instructions below this question). Which one type have you used most frequently in your lifetime?
H4TO95	Which one of these illegal drugs do you use most often?
H4TO96	How old were you the first time you used {favorite drug}? NOTE: Smallest 5 and largest 5 values are displayed.
H4TO97	Have you used {favorite drug} more than 5 times in your lifetime?
H4TO98	During the past 12 months, on how many days did you use
H4TO99	During the past 30 days, on how many days did you use {favorite drug}?
H4TO100	Have you used {favorite drug} within the past 24 hours?
H4TO101H	At what time did you last use {favorite drug}? [Hour]
H4TO101M	At what time did you last use {favorite drug}? [Minute]
H4TO101T	At what time did you last use {favorite drug}? [am/pm]
H4TO102	Was there ever a time when you used {favorite drug} more than you do now?
H4TO103	During the period when you used {favorite drug} the most, did you use {favorite drug}:
H4TO104	How often has your {favorite drug} use interfered with your responsibilities at work or school?
H4TO105	How often have you been under the influence of {favorite drug} when you could have gotten yourself or others hurt, or put yourself or others at risk, including unprotected sex?
H4TO106	How often have you had legal problems because of your {favorite drug} use, like being arrested for disturbing the peace or anything else?
H4TO107	How often have you had problems with your family, friends, or people at work or school because of your {favorite drug} use?
H4TO108	Did you continue to use {favorite drug} after you realized using it was causing you problems with family, friends, or people at work or school?
H4TO109	Have you ever found that you had to use more {favorite drug} than you used to in order to get the effect you wanted?
H4TO110	Has there ever been a period when you spent a lot of time using
H4TO111	Have you often used more {favorite drug} or used {favorite drug} longer than you intended?
H4TO112	Have you ever tried to quit or cut down on your use of {favorite drug}?
H4TO113	Has there ever been a period of time when you wanted to quit or cut down on your use of {favorite drug}?
H4TO114	When you decided to cut down or quit using {favorite drug}, were you able to do so for at least one month?
H4TO115	How many times have you tried but been unable to cut down or quit using {favorite drug} for at least one month?
H4TO116	During the first few hours of not using {favorite drug}, do you experience one or more withdrawal symptoms such as craving
H4TO117	Have you ever continued to use {favorite drug} after you realized using {favorite drug} was causing you any emotional problems (such as feeling depressed or empty, feeling irritable or aggressive, feeling paranoid or confused, feeling anxious or tense, being jumpy or easily startled) or causing you any health problems (such as heart pounding, headaches or dizziness, or sexual difficulties)?
H4TO118	Have you ever given up or cut down on important activities that would interfere with your {favorite drug} use like getting together with friends or relatives, going to work or school, participating in sports, or anything else?
H4TO119	Did (at least three of) these experiences occur together in a 12- month period?
H4TO120	How old were you when you first experienced these symptoms in the same 12 month period?
H4MA1	Before your 18th birthday, how often did a parent or other adult caregiver say things that really hurt your feelings or made you feel like you were not wanted or loved?
H4MA2	How old were you the first time this happened? NOTE: Smallest 5 and largest 5 values are displayed.
H4MA3	Before your 18th birthday, how often did a parent or adult caregiver hit you with a fist, kick you, or throw you down on the floor, into a wall, or down stairs?
H4MA4	How old were you the first time this happened? NOTE: Smallest 5 and largest 5 values are displayed.
